Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
交易所指数代码,交易日期,开盘指数,最高指数,最低指数,收盘指数,成份证券成交量,成份证券成交金额,指数回报率
没有单位,没有单位,没有单位,没有单位,没有单位,没有单位,万股,万元,没有单位
300,2016/5/3,3159.823,3218.485,3151.405,3213.54,981648.35,11573386.76,1.7992
300,2016/5/4,3203.465,3222.882,3198.292,3209.461,908624.08,9779713.48,-0.1269
300,2016/5/5,3204.169,3217.282,3196.566,3213.92,747336.81,8394649.69,0.1389
300,2016/5/6,3213.136,3216.893,3130.147,3130.354,1086802.4,11926521.61,-2.6001
300,2016/5/9,3115.43,3115.43,3055.006,3065.615,992304.77,10040921.35,-2.0681
300,2016/5/10,3055.212,3084.725,3055.183,3069.112,688499.35,7065076.41,0.1141
300,2016/5/11,3080.636,3102.877,3063.088,3082.809,817942.58,8732340.83,0.4463
300,2016/5/12,3059.383,3095.349,3035.023,3090.137,787657.26,8141879.26,0.2377
300,2016/5/13,3081.68,3103.096,3064.691,3074.935,626297.55,6585099.56,-0.492
300,2016/5/16,3064.526,3095.555,3053.662,3095.309,594618.56,6440520,0.6626
300,2016/5/17,3095.523,3105.201,3073.459,3086.025,652781.25,7538938.55,-0.2999
300,2016/5/18,3071.529,3072.612,3039.462,3068.036,827153.69,8845884.71,-0.5829
300,2016/5/19,3060.343,3086.977,3058.145,3062.5,604441.66,6867906.04,-0.1804
300,2016/5/20,3047.778,3078.532,3041.517,3078.218,560808.42,6512425.11,0.5132
300,2016/5/23,3078.515,3098.478,3076.504,3087.223,596972.16,7033751.45,0.2925
300,2016/5/24,3083.244,3083.257,3052.591,3063.556,587343.85,6110601.54,-0.7666
300,2016/5/25,3079.749,3089.102,3054.87,3059.226,566528.03,6331656.25,-0.1413
300,2016/5/26,3056.6,3072.524,3027.444,3064.211,603929.81,6598518.39,0.1629
300,2016/5/27,3059.732,3073.756,3052.179,3062.499,604687.5,5937177.71,-0.0559
300,2016/5/30,3056.314,3075.261,3037.665,3066.71,630985.79,6349656.5,0.1375
300,2016/5/31,3068.596,3170.926,3068.596,3169.56,1388631.11,15139817.6,3.3538
300,2016/6/1,3172.962,3181.793,3159.818,3160.547,1131484.82,13170082.12,-0.2844
300,2016/6/2,3158.026,3168.824,3151.065,3167.1,860034.27,9709362.53,0.2073
300,2016/6/3,3172.946,3201.749,3162.088,3189.326,1014917.83,13633202.71,0.7018
300,2016/6/6,3192.779,3197.22,3168.554,3178.788,766937.51,10117623.14,-0.3304
300,2016/6/7,3182.437,3186.617,3168.179,3177.054,689283.14,8871161.84,-0.0545
300,2016/6/8,3171.813,3174.972,3148.352,3163.986,762917.75,9768279.09,-0.4113
300,2016/6/13,3134.045,3145.606,3065.767,3066.341,929759.47,11409132,-3.0861
